branch,cgpa,tenth_percentage,twelfth_percentage,programming_skill,communication_skill,problem_solving,teamwork,leadership,internships,projects,certifications,hackathons,backlogs,resume_score,aptitude_score,coding_score,communication_test,placement_score,placed
ECE,6.54,86.9,72.2,5.7,1.2,5.5,7.3,5.4,0,1,2,3,1,61.3,40.0,64.9,25.2,19.6,0
DS,4.57,88.0,62.3,6.7,5.6,4.5,6.3,1.5,1,4,2,0,0,63.1,29.4,66.7,51.0,35.1,0
IT,6.75,67.0,51.2,4.0,4.9,6.2,10.0,4.5,1,1,1,0,1,46.1,43.7,34.0,47.9,27.6,0
MECH,8.2,87.3,82.5,5.7,7.1,7.5,4.5,5.6,2,3,0,1,1,62.4,70.0,59.6,60.5,51.6,1
CSE,7.79,81.6,83.4,5.6,10.0,4.8,8.5,7.0,3,2,2,0,0,73.5,37.3,54.1,93.2,57.1,1
CSE,7.67,83.9,79.5,6.4,7.8,6.1,6.8,3.5,0,2,3,0,0,69.8,54.8,65.2,83.4,54.7,1
CSE,6.89,73.1,72.2,6.7,10.0,4.9,8.2,6.2,2,3,1,0,1,83.5,34.0,67.0,98.4,53.0,1
AIML,5.79,67.7,70.9,7.1,7.5,6.6,7.2,8.4,3,0,2,0,0,73.0,47.6,64.9,82.0,51.3,1
MECH,7.77,65.6,85.1,6.5,5.4,5.2,4.2,4.2,1,1,1,2,0,58.1,33.1,69.5,46.3,31.9,0
IT,6.28,40.0,73.7,3.6,7.1,4.8,7.1,2.4,3,2,2,1,1,72.1,49.9,41.9,65.3,46.6,0
CSE,9.6,69.5,89.6,4.1,9.7,4.9,7.5,6.1,1,2,3,0,0,72.9,45.5,46.4,92.5,47.7,0
DS,7.83,100.0,73.7,4.9,9.8,7.2,3.7,3.1,2,2,2,2,0,68.7,48.8,52.0,93.6,66.2,1
IT,6.56,87.9,73.2,5.4,5.5,6.0,9.9,3.9,1,3,0,1,4,49.9,57.3,58.2,58.3,25.3,0
CSE,6.53,81.8,79.8,8.1,7.0,5.4,7.5,7.3,1,0,3,1,0,58.5,41.0,60.6,74.3,46.4,0
CSE,7.1,89.5,93.1,3.7,3.9,6.7,8.0,9.3,2,5,2,0,0,80.5,57.2,45.6,45.8,51.1,1
CSE,6.94,74.9,90.3,5.3,8.0,5.4,5.3,3.5,1,1,2,1,0,65.7,43.7,64.7,80.0,37.9,0
ECE,8.43,73.3,74.4,7.9,9.3,8.3,8.0,4.0,0,1,4,0,0,78.7,55.2,85.4,95.8,63.9,1
MECH,7.41,74.5,70.1,5.4,6.6,4.3,8.6,4.6,0,4,1,0,0,68.7,28.2,56.5,74.4,47.1,0
EEE,6.4,69.2,59.3,6.9,5.3,5.8,7.4,4.4,2,0,2,0,0,65.3,57.6,72.5,40.3,37.7,0
ECE,9.28,70.2,84.0,5.7,7.1,3.5,7.0,9.4,2,5,2,0,0,90.4,35.8,61.3,71.2,67.4,1
MECH,7.25,77.8,51.8,6.5,7.3,5.5,5.7,4.4,1,0,1,1,1,50.4,36.2,61.8,76.0,27.1,0
CSE,8.05,78.8,97.2,5.5,6.6,3.0,6.7,4.7,1,1,3,0,1,71.2,25.7,57.3,81.6,35.6,0
ECE,6.53,93.9,86.0,7.3,6.8,7.6,6.2,8.7,0,1,2,1,0,46.4,59.2,77.1,67.0,34.7,0
ECE,7.6,90.3,65.3,2.9,6.2,7.7,7.9,6.7,1,2,2,0,2,57.2,70.4,39.0,50.4,33.6,0
EEE,7.54,60.2,91.0,5.3,8.3,7.7,5.7,7.5,2,2,3,1,2,71.8,59.9,67.0,88.9,54.0,1
IT,5.12,74.5,82.1,6.6,7.8,6.3,7.8,3.7,2,1,1,0,1,60.9,43.9,60.4,71.0,42.3,0
CSE,9.42,64.7,81.1,7.1,4.7,4.5,5.7,4.4,1,1,2,1,0,64.9,42.1,61.0,51.1,44.0,0
MECH,8.62,46.7,71.5,9.0,4.7,4.7,6.6,3.4,3,0,3,0,0,90.1,46.9,64.7,52.0,60.2,1
MECH,6.76,79.0,82.2,5.2,6.0,9.1,7.9,7.1,2,2,3,0,1,74.4,76.0,53.5,63.1,60.3,1
CSE,5.99,84.9,56.6,9.0,7.8,8.9,5.9,8.0,0,4,2,0,0,69.9,76.0,86.4,63.6,59.4,1
MECH,7.58,78.9,75.8,4.7,6.8,6.4,8.0,4.3,1,2,2,1,0,61.4,41.9,50.0,66.7,44.4,0
CSE,7.3,83.2,66.2,8.7,5.3,5.2,7.8,4.8,0,3,0,0,3,51.2,31.5,82.8,46.5,21.3,0
CSE,7.59,74.0,71.3,7.6,7.0,8.8,6.6,4.9,1,1,3,1,1,73.1,59.6,84.8,72.1,52.9,1
AIML,7.41,65.7,66.0,4.2,5.9,4.9,8.7,2.4,2,1,2,0,0,68.4,47.4,33.8,56.6,36.8,0
DS,7.76,73.6,66.7,6.6,8.1,6.6,7.1,4.2,0,3,2,3,0,68.7,50.0,67.0,67.1,57.6,1
IT,8.79,94.4,91.7,5.9,7.1,8.8,8.7,7.0,2,4,0,1,0,74.2,76.8,57.8,76.8,64.8,1
ECE,7.82,82.5,56.4,7.3,5.9,4.6,9.7,3.7,1,4,2,0,0,72.1,32.1,57.9,55.5,44.9,0
CSE,6.05,59.8,80.3,5.6,6.9,7.8,6.6,5.7,2,2,0,0,0,52.2,62.1,62.2,69.7,47.4,0
CIVIL,8.7,79.6,60.3,5.4,8.9,7.2,8.0,2.9,0,2,4,0,1,75.8,51.1,58.2,83.3,57.8,1
EEE,9.0,93.3,92.2,8.7,5.5,6.1,6.0,5.2,0,1,3,2,3,68.5,46.4,85.6,60.5,48.2,0
CSE,10.0,87.1,80.6,5.8,7.2,4.3,5.5,4.4,1,3,1,0,1,69.8,20.8,59.1,75.4,45.0,0
EEE,5.96,93.4,56.7,7.7,6.4,4.8,6.7,3.1,2,2,2,2,0,61.9,36.0,67.5,65.5,49.9,0
CSE,7.47,60.1,79.4,5.5,7.3,6.7,5.0,7.1,2,4,2,1,0,81.6,50.8,65.6,69.7,50.1,1
AIML,4.91,79.5,66.0,9.3,5.3,3.5,5.6,7.2,1,3,3,2,0,73.9,14.4,75.2,50.8,37.1,0
ECE,7.81,73.8,77.9,4.6,6.7,6.4,7.9,3.6,0,4,3,2,0,77.3,55.0,42.7,60.9,58.4,1
CIVIL,6.6,85.1,57.7,4.8,8.5,7.2,6.2,5.1,0,3,4,3,2,57.2,62.4,55.4,79.1,43.5,0
ECE,9.32,67.8,91.0,9.0,4.8,8.1,8.1,5.6,2,3,1,0,0,90.2,59.3,90.0,54.3,71.7,1
MECH,6.35,67.6,49.0,5.1,4.1,3.5,7.4,1.9,0,2,0,2,0,49.2,18.7,42.3,56.1,15.4,0
MECH,5.34,78.0,64.5,9.2,4.2,8.7,9.8,2.7,1,2,2,0,1,69.8,83.5,85.2,50.8,41.8,0
CSE,6.68,66.9,60.9,7.8,4.4,9.4,7.8,8.1,1,0,3,0,0,63.9,77.4,83.8,51.6,46.2,0
DS,5.03,81.1,79.9,5.7,7.6,7.0,8.7,3.4,1,3,1,1,1,55.6,36.8,61.2,76.2,32.2,0
IT,8.03,53.5,68.6,2.4,4.0,4.2,7.6,8.0,1,2,1,1,3,56.9,30.4,20.2,46.5,11.7,0
AIML,4.93,92.1,72.6,6.0,6.0,5.6,7.5,2.8,3,3,3,1,1,72.1,39.4,54.3,48.3,39.4,0
AIML,7.23,44.6,66.7,6.2,7.6,6.1,8.7,6.8,2,3,3,3,2,76.0,43.1,55.5,72.9,57.6,1
MECH,4.91,88.9,57.2,8.3,7.2,6.7,8.0,4.9,2,3,1,2,0,66.5,62.4,65.3,77.5,54.6,1
AIML,6.85,71.0,72.0,9.2,5.8,6.2,7.3,5.2,1,1,3,0,0,69.5,52.0,95.4,63.9,52.4,1
CSE,9.01,60.6,58.1,4.6,6.8,6.7,7.3,9.2,0,4,0,1,0,64.9,59.0,52.2,65.6,42.2,0
CSE,7.6,80.0,51.2,7.6,6.7,6.0,7.8,3.0,3,0,0,0,1,61.8,47.1,81.0,60.2,43.8,0
CSE,6.25,88.6,83.1,7.5,6.1,6.7,6.0,6.7,0,4,1,1,0,53.7,60.5,71.5,60.4,49.9,0
ECE,7.17,91.9,58.9,8.1,6.1,5.3,5.9,6.6,1,2,3,1,0,66.8,39.6,69.0,58.4,56.2,1
ECE,7.22,91.5,93.9,7.0,10.0,5.6,9.1,10.0,0,4,2,1,0,65.1,46.3,61.0,100.0,64.1,1
ECE,7.72,67.7,93.4,2.1,8.0,5.1,9.8,3.3,1,2,1,2,1,57.7,44.7,21.0,85.6,28.8,0
IT,5.7,80.5,86.5,5.7,10.0,9.8,5.6,4.2,1,3,1,0,1,54.6,73.8,61.6,100.0,53.7,1
ECE,7.85,56.7,60.2,3.7,5.6,9.0,6.0,7.1,2,2,2,2,0,70.3,55.1,36.6,63.1,51.7,1
ECE,4.23,79.0,100.0,5.6,6.3,7.3,8.7,5.1,3,3,2,1,1,59.7,44.5,56.6,64.2,32.6,0
MECH,6.51,82.1,44.4,8.0,4.1,8.7,7.8,4.6,1,2,4,0,2,76.8,88.2,77.1,46.8,55.2,1
CSE,6.66,73.5,63.5,6.6,5.0,7.7,8.0,7.4,0,3,3,0,0,67.1,66.9,74.4,65.6,50.7,1
IT,7.9,56.0,85.8,8.3,9.9,6.5,8.3,5.0,1,1,0,1,0,64.1,57.9,83.2,95.3,63.4,1
CSE,7.22,70.9,84.8,6.7,5.6,3.3,6.6,3.7,1,3,2,0,2,71.0,38.1,57.5,57.7,25.4,0
DS,5.65,100.0,65.6,3.4,10.0,5.7,7.5,7.0,3,2,1,0,0,64.2,36.6,42.0,97.1,45.6,0
IT,6.12,82.7,64.8,1.0,4.3,5.6,7.4,6.3,0,2,4,1,2,64.1,38.7,11.1,45.8,13.2,0
CSE,7.42,72.2,72.2,6.3,4.6,4.0,5.7,4.9,0,4,0,0,0,58.5,23.5,49.6,41.9,33.9,0
CSE,7.11,76.1,73.9,5.6,5.9,3.4,7.5,4.8,1,4,1,2,0,74.3,45.9,50.7,68.3,36.4,0
IT,6.56,82.6,68.9,4.0,6.4,7.1,8.9,3.7,2,3,2,2,0,69.0,49.1,47.4,60.8,50.5,1
IT,6.67,59.4,96.6,2.6,8.2,6.8,6.5,7.0,1,4,0,1,4,51.2,64.6,33.4,91.1,23.0,0
IT,7.97,60.0,66.1,4.5,7.3,4.0,7.2,4.8,0,1,1,0,0,49.4,26.6,53.7,82.9,28.1,0
IT,6.63,69.2,94.1,5.6,5.8,4.8,7.3,4.0,1,2,2,1,2,59.2,38.9,59.3,60.6,31.6,0
CSE,7.1,71.9,80.3,7.3,6.3,8.4,6.6,2.9,1,2,1,1,0,59.7,77.4,82.7,62.9,53.4,1
ECE,9.59,99.5,88.2,6.4,5.9,4.5,8.0,6.3,0,2,2,2,0,66.2,38.5,56.2,56.7,49.8,0
CSE,5.63,78.8,55.6,9.2,4.9,6.5,6.0,4.5,2,2,3,0,0,74.5,51.1,89.1,50.1,53.1,1
AIML,5.16,71.8,88.4,3.9,4.9,5.8,9.0,1.5,0,3,2,1,0,54.1,64.9,35.8,59.6,30.7,0
CIVIL,8.06,78.7,87.9,7.8,8.4,7.2,7.9,3.1,1,2,4,1,0,73.3,42.6,71.3,79.0,65.0,1
ECE,6.45,53.7,66.3,6.1,3.2,4.6,5.6,5.0,2,2,0,0,3,59.4,29.0,60.2,43.3,12.1,0
CSE,6.85,67.2,86.0,7.4,9.4,6.4,9.5,5.1,0,3,1,0,2,59.8,48.5,65.6,100.0,37.5,0
ECE,6.34,69.0,55.8,5.1,5.9,6.5,7.3,5.0,2,1,2,1,0,68.5,60.5,48.5,59.6,32.6,0
ECE,6.91,65.8,68.8,8.1,5.1,6.6,5.9,4.7,2,2,1,0,1,67.1,49.1,81.4,56.7,34.5,0
IT,8.96,92.8,90.2,6.6,7.8,6.4,8.7,2.5,0,1,1,3,0,63.7,58.5,60.1,73.7,47.1,0
CIVIL,8.08,85.9,72.6,4.6,9.2,6.9,7.7,3.8,2,5,4,2,4,89.3,41.1,57.6,89.7,61.5,1
AIML,8.15,63.5,71.6,6.0,8.5,10.0,4.3,7.9,1,2,2,1,0,66.3,89.2,66.3,94.2,69.8,1
EEE,5.64,62.8,93.3,5.5,7.4,10.0,6.2,7.6,1,4,1,1,0,62.7,87.1,63.0,80.0,52.1,1
CSE,5.93,62.9,49.6,7.0,8.5,5.0,7.4,6.7,2,2,3,0,0,75.7,31.3,67.6,86.5,41.6,0
IT,4.08,75.8,72.7,3.6,3.4,1.8,3.8,6.5,2,1,0,2,1,38.3,14.1,31.8,34.9,2.9,0
IT,6.31,80.4,74.1,5.9,5.6,7.3,7.1,7.3,1,1,2,1,0,58.2,56.5,64.2,56.7,42.5,0
MECH,8.25,83.0,64.6,6.8,4.9,6.6,7.2,3.3,0,3,0,1,1,57.8,56.0,61.0,50.8,36.0,0
IT,7.77,65.8,92.9,6.1,8.7,8.2,5.2,5.6,0,5,1,2,3,72.2,75.0,45.9,78.9,53.2,1
EEE,6.96,75.9,63.2,8.7,5.8,6.7,7.4,3.3,2,1,0,0,0,60.5,48.5,73.1,63.6,40.2,0
MECH,7.18,77.3,63.3,7.5,8.0,6.3,7.0,3.3,3,1,4,1,0,84.7,53.4,69.8,85.5,77.5,1
EEE,6.44,92.4,42.9,6.0,7.5,8.3,5.2,6.2,0,2,0,1,0,50.7,68.7,68.0,70.9,39.6,0
CSE,7.43,87.3,89.4,6.4,4.9,8.6,8.4,7.4,0,2,2,0,0,61.6,69.9,83.8,55.7,46.0,0
CSE,8.04,60.8,70.7,6.6,5.4,3.6,8.3,5.1,2,4,1,0,0,81.7,40.2,55.7,52.9,48.7,0
CSE,5.42,55.4,70.7,6.8,8.8,4.6,6.6,8.8,1,2,1,1,0,66.8,38.5,59.2,85.6,38.5,0
CIVIL,7.53,76.7,72.2,2.3,5.1,6.0,6.7,5.9,0,1,2,1,4,38.9,38.3,33.1,47.6,7.8,0
ECE,8.23,70.4,90.5,5.4,6.7,6.4,8.1,3.9,0,4,2,0,0,64.6,57.0,57.5,67.3,40.8,0
MECH,6.74,66.5,96.0,3.0,5.1,5.8,6.7,3.3,1,2,2,2,0,52.4,59.0,37.6,53.2,31.2,0
AIML,7.97,68.9,52.5,8.6,5.9,7.0,4.1,7.5,3,3,4,0,0,94.7,57.3,80.7,61.1,77.6,1
CSE,10.0,85.0,69.0,5.9,6.4,8.1,7.7,5.8,3,3,1,1,0,93.9,75.6,49.3,61.8,78.3,1
EEE,7.09,60.0,60.2,5.6,5.1,9.5,5.8,6.9,1,1,0,0,0,36.2,72.4,65.2,54.5,31.0,0
IT,7.63,100.0,72.1,7.8,4.8,7.3,6.4,0.2,3,0,3,0,3,81.5,61.7,76.6,43.6,55.3,1
CSE,6.39,69.4,73.8,6.8,7.0,4.6,9.2,6.0,0,1,4,1,0,55.6,24.1,52.8,74.2,33.9,0
CSE,7.4,85.6,52.7,3.7,5.0,5.9,6.8,4.5,2,5,1,1,2,74.2,42.5,45.9,64.9,34.3,0
ECE,7.71,70.0,79.8,5.9,5.0,6.1,7.0,2.7,0,3,2,2,0,65.8,49.8,64.1,50.1,42.7,0
CSE,7.41,59.8,69.2,5.3,4.8,7.2,7.8,5.4,2,1,0,1,0,60.8,62.8,60.9,43.0,48.8,0
AIML,6.08,76.2,85.1,2.5,6.4,6.9,7.8,7.7,1,3,2,0,0,56.0,59.0,31.1,70.4,35.3,0
IT,7.43,63.0,75.4,4.6,8.2,10.0,5.6,10.0,0,3,1,1,0,55.1,90.2,58.5,81.1,49.9,0
CIVIL,8.81,79.8,52.7,5.6,9.2,5.3,6.9,6.0,3,0,4,0,0,74.3,30.4,49.4,92.6,63.3,1
AIML,7.69,77.7,83.0,5.8,5.2,6.9,7.1,4.1,0,2,1,0,1,66.7,67.2,50.3,61.4,26.1,0
IT,8.26,69.7,57.6,3.0,10.0,10.0,7.4,4.0,3,3,1,2,1,75.6,74.3,43.6,93.1,69.4,1
CSE,6.94,79.8,59.0,8.3,4.7,5.1,7.4,7.4,0,1,2,1,1,60.6,30.9,66.1,45.6,31.8,0
AIML,8.02,90.5,70.9,5.8,8.5,6.5,10.0,3.5,0,4,1,0,2,70.1,60.1,58.4,89.3,46.0,0
MECH,7.51,76.7,71.3,6.1,5.2,4.4,5.2,6.7,2,3,2,1,0,75.8,26.3,57.0,58.3,48.4,0
IT,6.15,69.3,52.2,6.8,4.9,6.4,8.5,6.1,1,0,4,2,0,66.3,62.2,61.4,54.3,41.2,0
AIML,7.55,82.8,73.1,4.4,5.2,4.7,8.8,5.9,1,4,2,2,0,74.6,20.3,58.4,54.8,49.5,0
ECE,6.11,83.3,73.8,6.9,6.4,8.2,7.7,2.4,0,0,4,1,0,50.9,59.5,67.5,67.3,42.0,0
